text,true_disease
"I have been feeling exhausted all the time, I can't stop going to the bathroom to pee, and my mouth is always dry no matter how much water I drink.",Diabetes
"My blood sugar goes up and down a lot, I feel restless and can't relax, and I've been gaining a lot of weight recently.",Diabetes
"I've been losing weight without trying, I feel very slow and unmotivated, and my cuts take a really long time to heal.",Diabetes
"I don't feel hungry all the time, but I do urinate a lot and feel completely drained and heavy all day.",Diabetes
"I have mild blurry vision sometimes and I occasionally feel a bit tired and slow, nothing too severe.",Diabetes
"I noticed a new spot on my skin that wasn't there before and it keeps getting bigger over time.",Skin Cancer
"There is a mole that has been changing shape, it looks different now and has different colors in it, brown and black mixed.",Skin Cancer
"I have a sore on my skin that won't close, it keeps coming back and stays open for weeks.",Skin Cancer
"I don't have a sore that won't heal, but I do have a new bump on my skin that is shiny and smooth like a pearl, and a red area that never fades.",Skin Cancer
"I have an itchy spot that I can't stop scratching, the shape looks lopsided and uneven, and it has been spreading slowly.",Skin Cancer
"I have a headache that comes and goes, and my lower back hurts after sitting for a long time. Nothing else unusual.",NO INDICATION
"I feel a bit stressed lately because of work and I haven't been sleeping well, but I eat normally and feel physically fine.",NO INDICATION
"I have a small cold, runny nose, and slight sore throat. It started two days ago and I think it will pass soon.",NO INDICATION
"My knee hurts when I climb stairs and I feel stiff in the morning. My doctor said it might be early arthritis.",NO INDICATION
