cancer_risk_probability,cancer_risk_percent,risk_level,binary_prediction_at_youden_threshold,recommended_action,disclaimer,model_version,threshold_version,preprocessed_full_path,final_authoritative_label,binary_true_label
0.169189,16.92,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0011130.jpg,MEL,1
0.669922,66.99,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0026512.jpg,NV,0
0.145508,14.55,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0016049_downsampled.jpg,NV,0
0.997559,99.76,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0030910.jpg,MEL,1
0.364746,36.47,moderate_model_estimated_risk,0,"Model-estimated cancer risk is moderate. Consider medical review, especially if the lesion is new, changing, symptomatic, or clinically concerning.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0054643.jpg,NV,0
0.276855,27.69,moderate_model_estimated_risk,0,"Model-estimated cancer risk is moderate. Consider medical review, especially if the lesion is new, changing, symptomatic, or clinically concerning.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0032927.jpg,MEL,1
0.45752,45.75,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0058042.jpg,NV,0
0.074524,7.45,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0029696.jpg,NV,0
1.0,100.0,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0030177.jpg,BCC,1
0.029037,2.9,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0015526_downsampled.jpg,NV,0
0.078308,7.83,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0061908.jpg,BCC,1
0.493652,49.37,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0067818.jpg,BCC,1
0.632812,63.28,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061795.jpg,NV,0
0.0,0.0,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0029732.jpg,NV,0
0.010529,1.05,lower_model_estimated_risk,0,"Model-estimated cancer risk is lower, but this does not rule out disease. Consult a clinician if the lesion changes, bleeds, hurts, or concerns you.",This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0013141_downsampled.jpg,MEL,1
0.994141,99.41,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0060150.jpg,MEL,1
0.635254,63.53,higher_model_estimated_risk,1,Model-estimated cancer risk is higher. A dermatologist or qualified clinician should review this lesion.,This AI output is for screening support only and is not a medical diagnosis. It should not replace professional medical evaluation.,binary_2phase_v1,youden_j_v1,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0068319.jpg,NV,0
